Measure,Metric,Delta_ML_minus_Regression,CI_2.5%,CI_97.5%,Empirical_p_two_sided
Objective,R2,0.23349187976676755,0.17315402062878837,0.2912151957342998,0.0006664445184938354
Objective,MAE,-0.23527381642347334,-0.2791533237007389,-0.19211500667881556,0.0006664445184938354
Objective,RMSE,-0.22047183152167116,-0.2881179480761689,-0.15221780197404713,0.0006664445184938354
Subjective,R2,0.4830679733361608,0.4126458983120548,0.5624134330288342,0.0006664445184938354
Subjective,MAE,-26.734934753570293,-29.078121005729862,-24.263149626365124,0.0006664445184938354
Subjective,RMSE,-27.21301267740231,-31.504438371788243,-23.11522671025097,0.0006664445184938354
